Year,Years_Since_1960,Cubic_Pred,Logistic_Pred,Best_Prediction,Lower_95,Upper_95
2069,109,10.55698359048256,10.542035636250226,10.542035636250226,10.513125447535986,10.570945824964467
2070,110,10.581103124459332,10.577427972774387,10.577427972774387,10.548517784060147,10.606338161488628
2071,111,10.603475885822263,10.612059706688735,10.612059706688735,10.583149517974494,10.640969895402975
2072,112,10.624076899934153,10.645941628537132,10.645941628537132,10.617031439822892,10.674851817251373
2073,113,10.642881192114146,10.679084656048111,10.679084656048111,10.650174467333871,10.707994844762352
2074,114,10.65986378769594,10.71149981666292,10.71149981666292,10.68258962794868,10.74041000537716
2075,115,10.674999712085992,10.743198230737873,10.743198230737873,10.714288042023632,10.772108419452113
2076,116,10.688263990516134,10.774191095421427,10.774191095421427,10.745280906707187,10.803101284135668
2077,117,10.699631648407376,10.804489669204273,10.804489669204273,10.775579480490032,10.833399857918513
2078,118,10.709077711035206,10.834105257138928,10.834105257138928,10.805195068424688,10.863015445853168
2079,119,10.716577203762427,10.863049196723427,10.863049196723427,10.834139008009187,10.891959385437668
2080,120,10.722105151951837,10.891332844442173,10.891332844442173,10.862422655727933,10.920243033156414
2081,121,10.725636580893479,10.9189675629555,10.9189675629555,10.890057374241259,10.94787775166974
2082,122,10.72714651592105,10.945964708928148,10.945964708928148,10.917054520213908,10.974874897642389
2083,123,10.726609982441005,10.972335621485712,10.972335621485712,10.943425432771472,11.001245810199952
2084,124,10.724002005728835,10.998091611286988,10.998091611286988,10.969181422572747,11.027001800001228
2085,125,10.719297611103684,11.023243950199248,11.023243950199248,10.994333761485008,11.052154138913489
2086,126,10.712471823957458,11.047803861562619,11.047803861562619,11.018893672848378,11.076714050276859
2087,127,10.703499669623852,11.071782511029035,11.071782511029035,11.042872322314794,11.100692699743275
2088,128,10.692356173407461,11.095190997960627,11.095190997960627,11.066280809246386,11.124101186674867
2089,129,10.679016360641981,11.118040347371895,11.118040347371895,11.089130158657655,11.146950536086136
2090,130,10.663455256675661,11.140341502399574,11.140341502399574,11.111431313685333,11.169251691113814
2091,131,10.645647886842198,11.162105317283839,11.162105317283839,11.133195128569598,11.19101550599808
2092,132,10.625569276518945,11.18334255084417,11.18334255084417,11.15443236212993,11.21225273955841
2093,133,10.60319445096684,11.204063860433042,11.204063860433042,11.175153671718801,11.232974049147282
2094,134,10.578498435577785,11.224279796350565,11.224279796350565,11.195369607636325,11.253189985064806
2095,135,10.551456255700032,11.244000796703073,11.244000796703073,11.215090607988833,11.272910985417314
2096,136,10.522042936594517,11.26323718268873,11.26323718268873,11.23432699397449,11.29214737140297
2097,137,10.490233503667696,11.2819991542933,11.2819991542933,11.25308896557906,11.310909343007541
2098,138,10.456002982267819,11.300296786379327,11.300296786379327,11.271386597665087,11.329206975093568
2099,139,10.41932639764127,11.31814002515214,11.31814002515214,11.2892298364379,11.34705021386638
2100,140,10.380178775194508,11.335538684986346,11.335538684986346,11.306628496272106,11.364448873700587
